Indicators:,cultural,borders,gatherings,manufacturing,contact,leisure,eateries,schools ,stores,last week,mean,rounded,round,date,average,std dev,change
NewBrunswickCanada,3,2,3,4,4,4,4,3,4,3.44,3.44,3,5,2020-06-19,2.727272727,0.578541912,0
OntarioCanada,3,2,2,4,3,3,3,2,3,2.67,2.78,2,5,2020-06-19,2.727272727,0.578541912,0.11
QuebecCanada,3,2,2,4,3,3,2,2,4,2.44,2.78,2,5,2020-06-19,2.727272727,0.578541912,0.34
Belgium,3,3,2,4,4,3,4,4,4,3.44,3.44,3,6,2020-06-26,2.788461538,0.531201051,0
France,4,3,2,4,4,4,4,5,4,3,3.78,3,6,2020-06-26,2.788461538,0.531201051,0.78
Germany,4,3,2,4,4,4,4,3,4,3.44,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.12
Ireland,2,3,2,3,1,3,2,1,4,2.33,2.33,2,6,2020-06-26,2.788461538,0.531201051,0
Luxembourg,4,3,4,4,3,3,4,3,4,3.56,3.56,3,6,2020-06-26,2.788461538,0.531201051,0
Netherlands,4,3,2,4,3,4,4,4,4,3.56,3.56,3,6,2020-06-26,2.788461538,0.531201051,0
Portugal,4,3,2,4,4,4,4,2,3,3.33,3.33,3,6,2020-06-26,2.788461538,0.531201051,0
Spain,4,3,4,4,3,4,3,3,4,3.33,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.23
UnitedKingdom,1,3,2,3,1,2,2,2,2,2,2,2,6,2020-06-26,2.788461538,0.531201051,0
CzechRepublic,4,3,4,4,4,4,4,3,4,3.78,3.78,3,6,2020-06-26,2.788461538,0.531201051,0
Hungary,4,3,4,4,4,4,4,4,4,3.78,3.89,3,6,2020-06-26,2.788461538,0.531201051,0.11
Latvia,4,3,4,4,4,4,4,3,4,3.78,3.78,3,6,2020-06-26,2.788461538,0.531201051,0
Lithuania,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Poland,4,3,3,4,4,4,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
Slovakia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Austria,4,3,3,4,4,4,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
Greece,4,3,3,-10,4,4,4,4,4,3.75,3.75,3,6,2020-06-26,2.788461538,0.531201051,0
Italy,4,3,4,4,3,4,4,2,4,3.44,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.12
Slovenia,4,3,4,-10,4,4,4,4,3,3.88,3.75,3,6,2020-06-26,2.788461538,0.531201051,-0.13
Switzerland,4,3,4,-10,4,4,4,4,4,3.88,3.88,3,6,2020-06-26,2.788461538,0.531201051,0
Australia,3,2,3,4,3,3,3,4,3,3.11,3.11,3,6,2020-06-26,2.788461538,0.531201051,0
Israel,3,2,3,4,4,3,3,3,4,3.33,3.22,3,6,2020-06-26,2.788461538,0.531201051,-0.11
Japan,4,3,4,4,4,3,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
NewZealand,5,2,5,4,5,5,5,5,4,4.44,4.44,4,6,2020-06-26,2.788461538,0.531201051,0
SouthKorea,3,3,3,4,4,3,3,4,4,3.56,3.44,3,6,2020-06-26,2.788461538,0.531201051,-0.12
Turkey,4,3,4,4,4,4,4,2,3,3.44,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.12
Denmark,4,3,4,4,4,4,4,4,4,3.67,3.89,3,6,2020-06-26,2.788461538,0.531201051,0.22
Estonia,4,3,3,4,4,4,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
Finland,4,3,4,4,4,4,4,4,4,3.78,3.89,3,6,2020-06-26,2.788461538,0.531201051,0.11
Iceland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Norway,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,6,2020-06-26,2.788461538,0.531201051,0
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,6,2020-06-26,2.788461538,0.531201051,0
Mexico,1,3,1,3,1,2,2,1,1,1.56,1.67,1,6,2020-06-26,2.788461538,0.531201051,0.11
California,4,3,3,4,3,3,3,3,4,3.11,3.33,3,6,2020-06-26,2.788461538,0.531201051,0.22
Illinois,3,3,3,4,3,3,3,3,3,2.67,3.11,3,6,2020-06-26,2.788461538,0.531201051,0.44
Michigan,3,3,3,4,3,3,3,3,3,3.11,3.11,3,6,2020-06-26,2.788461538,0.531201051,0
NewYork,1,3,2,3,3,2,3,1,3,1.89,2.33,2,6,2020-06-26,2.788461538,0.531201051,0.44
Texas,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Alberta,3,2,3,4,3,4,4,3,3,3.22,3.22,3,6,2020-06-26,2.788461538,0.531201051,0
